epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2628.08,0.73936,0.57856,1.14798,0.95377,0.95129,0.97104,0.84478,0.57258,0.33121,1.04849,0.007921,0.007921,0.007921
44,2689.04,0.74263,0.58055,1.15929,0.9603,0.95259,0.97632,0.85375,0.5583,0.31692,1.03281,0.0078715,0.0078715,0.0078715
45,2749.96,0.73222,0.56939,1.14749,0.95151,0.95464,0.97199,0.85252,0.55723,0.32442,1.03236,0.007822,0.007822,0.007822
46,2810.79,0.73606,0.56964,1.1445,0.95844,0.95472,0.97365,0.84949,0.56573,0.32558,1.03805,0.0077725,0.0077725,0.0077725
47,2871.65,0.7352,0.55737,1.14391,0.95674,0.95111,0.97279,0.8521,0.55954,0.31949,1.04043,0.007723,0.007723,0.007723
48,2932.35,0.73448,0.56102,1.14482,0.96367,0.95598,0.97849,0.8553,0.55448,0.31129,1.03346,0.0076735,0.0076735,0.0076735
49,2993.42,0.71779,0.54834,1.13666,0.95964,0.96345,0.97929,0.86176,0.55245,0.30255,1.02728,0.007624,0.007624,0.007624
50,3054.34,0.72402,0.54188,1.1364,0.96367,0.95803,0.97763,0.86116,0.54913,0.30091,1.02763,0.0075745,0.0075745,0.0075745
51,3115.4,0.72609,0.55885,1.14365,0.95298,0.96262,0.97526,0.85621,0.54731,0.31262,1.02724,0.007525,0.007525,0.007525
52,3176.09,0.7131,0.54251,1.13592,0.96476,0.95642,0.97496,0.8615,0.54108,0.30507,1.02472,0.0074755,0.0074755,0.0074755
53,3236.81,0.71537,0.53937,1.13337,0.96361,0.96189,0.9811,0.86697,0.5399,0.2963,1.01913,0.007426,0.007426,0.007426
54,3297.55,0.70874,0.53159,1.13141,0.97236,0.95502,0.97883,0.86391,0.5428,0.29663,1.02164,0.0073765,0.0073765,0.0073765
55,3358.15,0.70885,0.53952,1.13353,0.965,0.96272,0.98178,0.86818,0.53664,0.28882,1.01585,0.007327,0.007327,0.007327
56,3418.9,0.70621,0.53469,1.12984,0.96132,0.96095,0.97843,0.86879,0.53504,0.29705,1.01385,0.0072775,0.0072775,0.0072775
57,3479.62,0.70662,0.53557,1.1308,0.96389,0.95765,0.97704,0.86867,0.52906,0.29916,1.01467,0.007228,0.007228,0.007228
58,3540.31,0.70357,0.53341,1.13129,0.96385,0.96145,0.97722,0.86739,0.53033,0.29301,1.01377,0.0071785,0.0071785,0.0071785
59,3601.13,0.70108,0.52488,1.1229,0.96067,0.95999,0.97359,0.86674,0.52465,0.2925,1.01187,0.007129,0.007129,0.007129
60,3661.85,0.71342,0.53712,1.13276,0.96438,0.95991,0.97871,0.86962,0.52165,0.28932,1.0095,0.0070795,0.0070795,0.0070795
61,3722.62,0.70099,0.52802,1.12625,0.96723,0.95452,0.97768,0.86714,0.52342,0.29023,1.01169,0.00703,0.00703,0.00703
62,3783.37,0.69903,0.53593,1.12622,0.95879,0.964,0.98042,0.87349,0.51699,0.28602,1.00347,0.0069805,0.0069805,0.0069805
63,3843.99,0.69291,0.52603,1.1233,0.9649,0.95931,0.98033,0.87227,0.51711,0.28215,1.0032,0.006931,0.006931,0.006931
64,3904.62,0.69738,0.51287,1.12669,0.96608,0.96334,0.97988,0.87387,0.51525,0.27996,1.00421,0.0068815,0.0068815,0.0068815
65,3965.44,0.6831,0.52068,1.11589,0.96372,0.96501,0.98051,0.87418,0.51629,0.28126,0.9998,0.006832,0.006832,0.006832
66,4026.21,0.69102,0.51734,1.12081,0.96479,0.96306,0.97913,0.8744,0.51332,0.27926,1.00455,0.0067825,0.0067825,0.0067825
67,4086.83,0.68835,0.51215,1.11756,0.96842,0.95819,0.97947,0.87651,0.50988,0.27469,1.0009,0.006733,0.006733,0.006733
68,4147.72,0.68621,0.51252,1.11861,0.96754,0.95992,0.9822,0.8789,0.50912,0.2707,0.999,0.0066835,0.0066835,0.0066835
69,4208.52,0.68644,0.50784,1.11783,0.959,0.9651,0.98199,0.87851,0.51114,0.2727,0.99766,0.006634,0.006634,0.006634
70,4269.32,0.67864,0.50638,1.11209,0.96454,0.96134,0.98145,0.87965,0.50985,0.2687,0.9997,0.0065845,0.0065845,0.0065845
71,4329.95,0.67753,0.50257,1.11557,0.96653,0.96293,0.98116,0.87872,0.50569,0.27041,0.99559,0.006535,0.006535,0.006535
72,4390.62,0.67847,0.50422,1.10878,0.96301,0.9668,0.98093,0.88001,0.50214,0.26881,0.99384,0.0064855,0.0064855,0.0064855
73,4451.53,0.67428,0.50024,1.10954,0.96043,0.97044,0.98013,0.88026,0.50057,0.27,0.99264,0.006436,0.006436,0.006436
74,4512.41,0.67491,0.48918,1.11035,0.96567,0.96565,0.98299,0.88299,0.49897,0.26543,0.99107,0.0063865,0.0063865,0.0063865
75,4573.26,0.66938,0.49342,1.10691,0.96534,0.96395,0.98075,0.88093,0.49935,0.26696,0.99264,0.006337,0.006337,0.006337
76,4633.89,0.66709,0.48702,1.10589,0.96103,0.96965,0.98038,0.88273,0.49881,0.26758,0.98978,0.0062875,0.0062875,0.0062875
77,4694.61,0.66979,0.49186,1.10526,0.95794,0.97122,0.98143,0.88362,0.49563,0.2661,0.9882,0.006238,0.006238,0.006238
78,4755.4,0.66488,0.48648,1.10569,0.96254,0.97239,0.98229,0.88396,0.49512,0.26357,0.99038,0.0061885,0.0061885,0.0061885
79,4816,0.65971,0.48201,1.09895,0.96611,0.96941,0.98257,0.88477,0.4966,0.26214,0.99226,0.006139,0.006139,0.006139
80,4876.93,0.66298,0.49088,1.10495,0.96942,0.96441,0.98207,0.88329,0.49758,0.2615,0.99401,0.0060895,0.0060895,0.0060895
81,4937.53,0.66528,0.49518,1.10462,0.96951,0.96437,0.98332,0.8856,0.49572,0.2604,0.99243,0.00604,0.00604,0.00604
82,4998.22,0.6552,0.48457,1.09835,0.96778,0.96557,0.98333,0.88511,0.49435,0.26051,0.98964,0.0059905,0.0059905,0.0059905
83,5058.94,0.65533,0.48232,1.09929,0.96077,0.97263,0.98212,0.88491,0.49038,0.26292,0.98687,0.005941,0.005941,0.005941
84,5119.48,0.66168,0.48384,1.1022,0.96735,0.96607,0.98178,0.8875,0.48891,0.26182,0.98716,0.0058915,0.0058915,0.0058915
85,5180.1,0.65929,0.48481,1.10298,0.96936,0.96355,0.98116,0.88718,0.49158,0.26151,0.98979,0.005842,0.005842,0.005842
86,5240.87,0.65013,0.47651,1.09452,0.96911,0.96495,0.9822,0.888,0.48931,0.25859,0.98851,0.0057925,0.0057925,0.0057925
87,5301.57,0.64711,0.47861,1.09476,0.96693,0.96633,0.98271,0.88755,0.48739,0.25865,0.98616,0.005743,0.005743,0.005743
88,5362.13,0.64737,0.47778,1.09649,0.9646,0.9683,0.98268,0.8875,0.48641,0.25776,0.98541,0.0056935,0.0056935,0.0056935
89,5422.92,0.64408,0.46888,1.09129,0.96626,0.9621,0.98252,0.88853,0.48539,0.25739,0.98487,0.005644,0.005644,0.005644
90,5483.71,0.64461,0.46616,1.0911,0.96226,0.96862,0.98323,0.88946,0.4848,0.25546,0.98406,0.0055945,0.0055945,0.0055945
91,5544.58,0.64563,0.47388,1.09557,0.96577,0.96656,0.98366,0.88963,0.48448,0.25406,0.98507,0.005545,0.005545,0.005545
92,5605.53,0.63926,0.46519,1.09131,0.96213,0.97171,0.98382,0.88969,0.48478,0.25227,0.98595,0.0054955,0.0054955,0.0054955
93,5666.28,0.63593,0.46272,1.08815,0.9627,0.96983,0.98426,0.89138,0.48366,0.25069,0.9859,0.005446,0.005446,0.005446
94,5727.03,0.63602,0.46646,1.08975,0.96491,0.96975,0.98413,0.8908,0.48435,0.25116,0.98646,0.0053965,0.0053965,0.0053965
95,5787.81,0.64429,0.46714,1.09285,0.96957,0.96333,0.98321,0.89087,0.48376,0.25354,0.98531,0.005347,0.005347,0.005347
96,5848.58,0.63349,0.46013,1.08992,0.96526,0.96882,0.98309,0.88975,0.48334,0.25377,0.98482,0.0052975,0.0052975,0.0052975
97,5909.29,0.62942,0.46351,1.08283,0.96425,0.97031,0.98312,0.89024,0.48206,0.25351,0.9843,0.005248,0.005248,0.005248
98,5970.05,0.63391,0.46491,1.0867,0.96651,0.96888,0.98292,0.89111,0.48119,0.25198,0.98319,0.0051985,0.0051985,0.0051985
99,6030.74,0.62286,0.45535,1.08463,0.96774,0.96974,0.98318,0.89198,0.48086,0.25028,0.98365,0.005149,0.005149,0.005149
100,6091.53,0.62513,0.45434,1.08399,0.96816,0.96901,0.98343,0.89148,0.4817,0.25021,0.9842,0.0050995,0.0050995,0.0050995
101,6152.26,0.62717,0.45568,1.08246,0.96472,0.97093,0.98297,0.89214,0.48173,0.24986,0.98391,0.00505,0.00505,0.00505
102,6213.15,0.62265,0.45346,1.08025,0.96769,0.97064,0.98344,0.89241,0.48104,0.24802,0.9834,0.0050005,0.0050005,0.0050005
103,6273.99,0.62019,0.45205,1.08062,0.96786,0.97144,0.98391,0.89285,0.48044,0.24679,0.98246,0.004951,0.004951,0.004951
104,6334.94,0.61396,0.44637,1.07568,0.96744,0.97207,0.98409,0.89319,0.48026,0.24606,0.98259,0.0049015,0.0049015,0.0049015
105,6395.62,0.61616,0.449,1.0812,0.96738,0.97262,0.98436,0.89346,0.47952,0.24548,0.98184,0.004852,0.004852,0.004852
106,6456.28,0.61017,0.44053,1.0741,0.96806,0.97251,0.98481,0.89386,0.47934,0.24413,0.98248,0.0048025,0.0048025,0.0048025
107,6517.02,0.61566,0.44624,1.07842,0.96994,0.97397,0.98487,0.89437,0.47921,0.24359,0.98252,0.004753,0.004753,0.004753
108,6577.95,0.61469,0.44051,1.07565,0.97007,0.97261,0.98465,0.8944,0.47842,0.24342,0.98181,0.0047035,0.0047035,0.0047035
109,6638.77,0.607,0.43962,1.07108,0.9691,0.97335,0.98446,0.89494,0.47723,0.24357,0.98133,0.004654,0.004654,0.004654
110,6699.53,0.61415,0.44588,1.07453,0.96834,0.97495,0.98433,0.89452,0.47757,0.24357,0.98153,0.0046045,0.0046045,0.0046045
111,6760.25,0.60337,0.43497,1.0716,0.96875,0.97218,0.98405,0.89431,0.47761,0.24329,0.98168,0.004555,0.004555,0.004555
112,6820.76,0.60577,0.43251,1.07086,0.96898,0.97263,0.98413,0.89455,0.47733,0.24285,0.9813,0.0045055,0.0045055,0.0045055
113,6881.37,0.60357,0.4327,1.06897,0.96892,0.97257,0.98413,0.89533,0.47733,0.24244,0.98155,0.004456,0.004456,0.004456
114,6941.94,0.60139,0.42829,1.06979,0.96826,0.97256,0.98414,0.89525,0.47711,0.24155,0.98182,0.0044065,0.0044065,0.0044065
